Date,Open,High,Low,Close,Adj Close,Volume,Country/ Region,In USD
12/20/19,40.580002,40.66,40.529999,40.610001,40.454723,1248200,Europe,43.69110084
12/23/19,40.599998,40.689999,40.599998,40.619999,40.464684,512700,Europe,43.70185872
12/24/19,40.57,40.59,40.470001,40.549999,40.394951,523100,Europe,43.62654708
12/26/19,40.57,40.790001,40.57,40.790001,40.634033,1415900,Europe,43.88475564
12/27/19,41,41.029999,40.900002,40.93,40.773499,1180500,Europe,44.03537892
12/30/19,40.900002,40.91,40.540001,40.59,40.434799,1818500,Europe,43.66958292
12/31/19,40.599998,40.790001,40.459999,40.790001,40.634033,1386300,Europe,43.88475564
1/2/20,41.130001,41.27,41.09,41.259998,41.102234,1725200,Europe,44.39041272
1/3/20,40.650002,40.93,40.650002,40.73,40.574265,1267600,Europe,43.8202062
1/6/20,40.610001,40.84,40.59,40.799999,40.643993,837500,Europe,43.89551244
1/7/20,40.689999,40.709999,40.549999,40.57,40.414875,1140500,Europe,43.648065
1/8/20,40.549999,40.91,40.549999,40.77,40.614109,1844100,Europe,43.86323772
1/9/20,40.91,40.959999,40.82,40.939999,40.783459,1164300,Europe,44.04613572
1/10/20,40.919998,41.009998,40.740002,40.810001,40.653957,1237200,Europe,43.90627356
1/13/20,40.740002,40.91,40.68,40.91,40.753574,1310100,Europe,44.01385992
1/14/20,40.700001,40.84,40.66,40.77,40.614109,2251600,Europe,43.86323772
1/15/20,40.720001,40.82,40.650002,40.700001,40.54438,1661400,Europe,43.7879304
1/16/20,40.84,40.900002,40.73,40.900002,40.743614,1019600,Europe,44.00310312
1/17/20,41.040001,41.080002,40.939999,41.080002,40.922928,1701100,Europe,44.19676224
1/21/20,40.799999,40.849998,40.669998,40.669998,40.514492,3016800,Europe,43.75565136
1/22/20,40.709999,40.709999,40.5,40.52,40.365067,1759400,Europe,43.59427236
1/23/20,40.330002,40.400002,40.040001,40.400002,40.245525,1745600,Europe,43.465167
1/24/20,40.560001,40.580002,40.220001,40.330002,40.175793,1976300,Europe,43.38985644
1/27/20,39.450001,39.57,39.310001,39.349998,39.199539,1773500,Europe,42.33550212
1/28/20,39.549999,39.84,39.509998,39.790001,39.637859,1356900,Europe,42.80888772
1/29/20,39.91,40.02,39.790001,39.849998,39.697628,1210400,Europe,42.87343824
1/30/20,39.459999,39.830002,39.419998,39.810001,39.657784,3026100,Europe,42.83040672
1/31/20,39.419998,39.439999,38.970001,39.099998,38.950493,2226200,Europe,42.06653244
2/3/20,39.240002,39.450001,39.23,39.27,39.119846,1172400,Europe,42.24943368
2/4/20,39.919998,40.060001,39.91,39.950001,39.797245,1838200,Europe,42.9810246
2/5/20,40.419998,40.490002,40.27,40.380001,40.225601,2327000,Europe,43.44364908
2/6/20,40.630001,40.66,40.52,40.599998,40.444759,2449100,Europe,43.68033972
2/7/20,40.419998,40.450001,40.27,40.32,40.165833,917000,Europe,43.37909964
2/10/20,40.169998,40.380001,40.169998,40.380001,40.225601,756200,Europe,43.44364908
2/11/20,40.540001,40.689999,40.509998,40.57,40.414875,4680700,Europe,43.648065
2/12/20,40.860001,40.860001,40.709999,40.790001,40.634033,2272700,Europe,43.88475564
2/13/20,40.43,40.580002,40.32,40.490002,40.335182,1504000,Europe,43.56199656
2/14/20,40.52,40.560001,40.369999,40.490002,40.335182,996800,Europe,43.56199656
2/18/20,40.279999,40.41,40.259998,40.310001,40.155872,1161600,Europe,43.36834176
2/19/20,40.470001,40.57,40.419998,40.52,40.365067,764400,Europe,43.59427236
2/20/20,40.450001,40.529999,40.060001,40.279999,40.125984,1604000,Europe,43.33606272
2/21/20,40.049999,40.110001,39.860001,40.02,39.866978,2243000,Europe,43.05633624
2/24/20,38.23,38.549999,38.220001,38.290001,38.143593,3826400,Europe,41.19508044
2/25/20,38.220001,38.25,37.240002,37.310001,37.167343,4804100,Europe,40.14073044
2/26/20,37.68,37.98,37.27,37.32,37.177303,5330800,Europe,40.15148724
2/27/20,36.709999,37.290001,36.240002,36.259998,36.121353,4655700,Europe,39.01106124
2/28/20,35.32,36.029999,35.02,35.970001,35.832466,6500600,Europe,38.69906328
3/2/20,36.060001,36.810001,35.720001,36.75,36.609482,3817800,Europe,39.53824056
3/3/20,36.959999,37.48,35.990002,36.25,36.111393,3426400,Europe,39.00030444
3/4/20,36.959999,37.619999,36.669998,37.57,37.426346,2441000,Europe,40.42045368
3/5/20,36.450001,36.799999,36.099998,36.299999,36.161201,2663700,Europe,39.05409708
3/6/20,35.610001,35.93,35.25,35.639999,35.503723,3254400,Europe,38.34402084
3/9/20,33,33.689999,32.18,32.310001,32.186459,5884100,Europe,34.76137572
3/10/20,33.470001,33.509998,32.049999,33.330002,33.20256,8606100,Europe,35.8587648
3/11/20,32.529999,32.630001,31.18,31.530001,31.409441,5866200,Europe,33.92219628
3/12/20,29.190001,29.290001,27.379999,27.6,27.494469,5451000,Europe,29.69402652
3/13/20,29.77,29.809999,27.43,29.309999,29.197929,2881000,Europe,31.53376332
3/16/20,25.309999,27.190001,25,25.950001,25.850777,4681300,Europe,27.91883916
3/17/20,26.190001,27.379999,25.75,27.290001,27.185654,3165700,Europe,29.36050632
3/18/20,25.360001,26.01,24.290001,25.190001,25.093683,3324900,Europe,27.10117764
3/19/20,25.02,26.120001,24.77,25.559999,25.462267,3821100,Europe,27.49924836
3/20/20,26.360001,27,25.4,25.629999,25.532,3086300,Europe,27.57456
